City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,2.09,60,75,1.03,CA,1712291413
1,anadyr,64.75,177.4833,-11.72,78,0,6.0,RU,1712291413
2,tazovsky,67.4667,78.7,-16.67,94,96,6.76,RU,1712291210
3,edinburgh of the seven seas,-37.0676,-12.3116,17.79,88,100,9.87,SH,1712291414
4,ulladulla,-35.35,150.4667,17.65,91,100,3.99,AU,1712291414
5,puerto ayora,-0.7393,-90.3518,23.08,96,17,1.03,EC,1712291414
6,waitangi,-43.9535,-176.5597,12.68,85,50,1.34,NZ,1712291160
7,talcahuano,-36.7167,-73.1167,12.82,94,0,2.06,CL,1712291400
8,al jawf,29.5,38.75,21.25,26,0,2.06,SA,1712291415
9,nurota,40.5614,65.6886,19.25,23,33,4.17,UZ,1712291415
10,grytviken,-54.2811,-36.5092,2.68,78,20,0.4,GS,1712291416
11,port-aux-francais,-49.35,70.2167,8.43,92,70,11.42,TF,1712291416
12,kangal,39.2335,37.3911,12.25,55,100,1.96,TR,1712291416
13,acapulco de juarez,16.8634,-99.8901,24.9,73,0,3.6,MX,1712291232
14,la'ie,21.6477,-157.9253,25.98,75,1,6.71,US,1712291416
15,nuuk,64.1835,-51.7216,-2.66,74,20,10.29,GL,1712291400
16,gadzhiyevo,69.2551,33.3362,-8.67,87,99,5.62,RU,1712291417
17,dingras,18.1032,120.6967,31.86,74,20,4.12,PH,1712291417
18,oyama,36.3,139.8,10.38,70,100,1.08,JP,1712291417
19,ushuaia,-54.8,-68.3,7.81,61,40,5.14,AR,1712291341
20,ribeira grande,38.5167,-28.7,11.54,78,93,8.49,PT,1712291418
21,ginir,7.1333,40.7,19.09,67,67,1.2,ET,1712291418
22,sisimiut,66.9395,-53.6735,-9.17,90,30,3.68,GL,1712291418
23,puerto baquerizo moreno,-0.9,-89.6,23.86,83,39,2.1,EC,1712291419
24,hermanus,-34.4187,19.2345,13.22,70,99,7.2,ZA,1712291308
25,bodo,67.28,14.405,-3.98,54,0,7.2,NO,1712291419
26,polyarnyye zori,67.3661,32.4981,-16.12,97,100,1.06,RU,1712291419
27,olonkinbyen,70.9221,-8.7187,-6.46,79,99,8.29,SJ,1712291419
28,avarua,-21.2078,-159.775,28.03,74,40,3.6,CK,1712291420
29,tallahassee,30.4383,-84.2807,13.94,72,0,0.45,US,1712291322
30,manta,-0.95,-80.7333,25.88,78,75,5.81,EC,1712291168
31,sabang,5.8933,95.3214,28.83,72,98,2.48,ID,1712291420
32,northam,51.0333,-4.2167,13.14,95,85,9.13,GB,1712291421
33,adamstown,-25.066,-130.1015,22.26,62,13,3.47,PN,1712291421
34,longyearbyen,78.2186,15.6401,-14.09,72,40,2.57,SJ,1712291421
35,bethel,41.3712,-73.414,3.34,83,0,0.45,US,1712291421
36,sinop,41.7711,34.8709,7.24,87,74,1.54,TR,1712291380
37,katsuura,35.1333,140.3,11.26,72,100,7.88,JP,1712291422
38,cam ranh,11.9214,109.1591,31.98,55,20,6.17,VN,1712291422
39,dunedin,-45.8742,170.5036,12.02,64,30,1.2,NZ,1712291402
40,badger,64.8,-147.5333,3.14,85,75,2.06,US,1712291423
41,soe,-9.8607,124.284,24.56,86,50,0.68,ID,1712291423
42,keflavik,64.0049,-22.5624,1.24,80,100,6.17,IS,1712291423
43,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,77,75,3.58,RU,1712291423
44,port lincoln,-34.7333,135.8667,17.4,63,91,4.8,AU,1712291424
45,kapuskasing,49.4169,-82.4331,-0.95,59,0,3.6,CA,1712291424
46,melfort,52.8667,-104.6177,1.07,86,100,3.6,CA,1712291401
47,ketou,7.3633,2.5998,26.27,86,100,2.34,BJ,1712291425
48,st. john's,47.5649,-52.7093,1.2,97,100,4.63,CA,1712291191
49,hilo,19.7297,-155.09,21.82,91,100,3.09,US,1712291425
50,punta arenas,-53.15,-70.9167,7.06,81,75,6.17,CL,1712291425
51,kununurra,-15.7667,128.7333,31.99,35,19,5.66,AU,1712291181
52,blackmans bay,-43.0167,147.3167,18.62,59,1,0.45,AU,1712291426
53,giddings,30.1827,-96.9364,19.55,59,0,0.0,US,1712291374
54,iqaluit,63.7506,-68.5145,-14.15,77,0,1.03,CA,1712291412
55,port shepstone,-30.7414,30.455,22.91,78,0,11.59,ZA,1712291266
56,tiksi,71.6872,128.8694,-22.69,88,100,5.4,RU,1712291427
57,howrah,22.5892,88.3103,32.0,74,40,1.54,IN,1712291427
58,antequera,37.0194,-4.5612,11.63,63,87,2.98,ES,1712291427
59,egilsstadir,65.2653,-14.3948,-9.05,92,40,0.51,IS,1712291427
60,yellowknife,62.456,-114.3525,-13.71,78,0,4.12,CA,1712291309
61,college,64.8569,-147.8028,3.18,83,75,2.06,US,1712291428
62,jamestown,42.097,-79.2353,1.4,98,100,2.57,US,1712291417
63,puerto natales,-51.7236,-72.4875,6.51,84,59,3.76,CL,1712291428
64,flying fish cove,-10.4217,105.6791,28.82,78,75,3.6,CX,1712291355
65,wailua homesteads,22.0669,-159.378,26.24,71,100,9.77,US,1712291429
66,moab,38.5733,-109.5498,20.9,10,86,1.79,US,1712291242
67,ancud,-41.8697,-73.8203,10.89,92,42,0.89,CL,1712291429
68,nuku'alofa,-21.1333,-175.2,27.19,78,20,4.12,TO,1712291415
69,dem'yanovo,60.3511,47.0842,-6.4,61,72,4.78,RU,1712291429
70,whitehorse,60.7161,-135.0538,1.43,50,75,6.71,CA,1712291430
71,albany,42.6001,-73.9662,1.07,79,100,0.89,US,1712291402
72,langsa,4.4683,97.9683,36.01,43,97,1.06,ID,1712291430
73,loei,17.4167,101.5,28.65,20,17,2.64,TH,1712291430
74,noyabrsk,63.1994,75.4507,0.69,99,100,6.26,RU,1712291430
75,midvagur,62.0511,-7.1939,0.46,69,38,5.14,FO,1712291431
76,iskateley,67.6803,53.1512,-15.46,92,100,6.1,RU,1712291431
77,crane,31.3974,-102.3501,20.5,17,0,7.9,US,1712291431
78,faya-largeau,17.9257,19.1043,25.69,14,64,7.14,TD,1712291431
79,khandyga,62.6667,135.6,-0.11,86,93,2.62,RU,1712291432
80,rozhyshche,50.9154,25.2691,10.76,89,95,4.67,UA,1712291432
81,kayangel,8.0823,134.7173,28.05,79,89,9.08,PW,1712291432
82,lebu,-37.6167,-73.65,11.78,95,11,3.79,CL,1712291432
83,stanley,54.868,-1.6985,5.43,98,75,5.14,GB,1712291433
84,taoudenni,22.6783,-3.9836,23.51,14,1,5.02,ML,1712291433
85,diapaga,12.0708,1.7889,30.2,33,0,2.79,BF,1712291433
86,bubaque,11.2833,-15.8333,23.95,87,15,5.79,GW,1712291433
87,ta`u,-14.2336,-169.5144,28.62,77,100,2.94,AS,1712291434
88,west island,-12.1568,96.8225,29.99,66,40,5.66,CC,1712291434
89,walvis bay,-22.9575,14.5053,15.61,94,100,5.14,NA,1712291434
90,inhambane,-23.865,35.3833,24.99,94,40,1.54,MZ,1712291434
91,mogocha,53.7333,119.7667,5.15,60,100,6.09,RU,1712291434
92,kingston,17.997,-76.7936,27.53,78,20,3.09,JM,1712291220
93,papatowai,-46.5619,169.4708,12.22,64,51,4.85,NZ,1712291435
94,masterton,-40.9597,175.6575,17.71,60,94,3.0,NZ,1712291435
95,vilyuysk,63.7553,121.6247,-12.22,88,99,3.58,RU,1712291436
96,new norfolk,-42.7826,147.0587,19.28,40,0,1.0,AU,1712291436
97,susuman,62.7833,148.1667,-11.12,70,61,0.89,RU,1712291436
98,isafjordur,66.0755,-23.124,-5.36,75,98,3.93,IS,1712291436
99,hawaiian paradise park,19.5933,-154.9731,21.6,90,100,3.09,US,1712291436
100,santiago de cao,-7.9589,-79.2392,21.07,88,75,5.14,PE,1712291437
101,tralee,52.2704,-9.7026,10.54,91,99,5.24,IE,1712291437
102,rongelap,11.1635,166.8941,26.97,78,85,8.73,MH,1712291437
103,hasaki,35.7333,140.8333,12.22,53,100,6.92,JP,1712291437
104,la passe,45.5549,-0.8967,17.13,67,99,6.26,FR,1712291438
105,bilibino,68.0546,166.4372,-12.43,82,64,0.34,RU,1712291438
106,agat village,13.3886,144.6585,31.52,67,40,7.2,GU,1712291438
107,kovdor,67.5662,30.4758,-15.15,96,91,1.34,RU,1712291438
108,dakhla,23.6848,-15.958,17.76,93,78,7.73,EH,1712291175
109,dudinka,69.4058,86.1778,-22.96,93,100,2.68,RU,1712291439
110,mancio lima,-7.6142,-72.8958,22.58,94,100,0.96,BR,1712291439
111,charters towers,-20.1,146.2667,30.8,51,71,3.68,AU,1712291439
112,patong,7.8961,98.2966,33.08,68,100,4.82,TH,1712291439
113,veinticinco de mayo,-35.4323,-60.1727,13.32,85,0,2.44,AR,1712291440
114,vorgashor,67.5833,63.95,-8.44,96,100,8.77,RU,1712291416
115,alamar,23.1583,-82.2769,21.13,76,86,4.68,CU,1712291440
116,xai-xai,-25.0519,33.6442,23.27,86,59,3.52,MZ,1712291440
117,holualoa,19.6228,-155.9522,23.91,82,40,4.12,US,1712291440
118,afaahiti,-17.75,-149.2833,26.93,85,82,4.79,PF,1712291441
119,north bend,43.4065,-124.2243,7.7,81,75,1.54,US,1712291441
120,sungai penuh,-2.0833,101.3833,24.51,81,100,2.08,ID,1712291441
121,ingeniero guillermo n. juarez,-23.9,-61.85,21.08,93,100,4.28,AR,1712291441
122,margaret river,-33.95,115.0667,25.2,36,100,4.34,AU,1712291442
123,manjhanpur,25.5333,81.3833,38.8,12,98,4.78,IN,1712291442
124,east london,-33.0153,27.9116,19.52,72,20,7.72,ZA,1712291409
125,aasiaat,68.7098,-52.8699,-11.35,100,91,2.51,GL,1712291442
126,muang phon-hong,18.4928,102.4172,40.43,21,0,1.55,LA,1712291443
127,george town,5.4112,100.3354,32.96,66,20,4.63,MY,1712291278
128,ilulissat,69.2167,-51.1,-4.99,93,100,3.09,GL,1712291443
129,buka,40.8108,69.1986,18.82,41,58,2.02,UZ,1712291443
130,mount pearl,47.5166,-52.7813,0.74,98,100,4.63,CA,1712291443
131,rio grande,-32.035,-52.0986,21.22,94,100,3.24,BR,1712291389
132,alo,7.4178,6.7371,26.34,84,99,2.1,NG,1712291444
133,sinabang,2.4803,96.3801,30.05,71,100,1.32,ID,1712291444
134,mejit,10.2753,170.8646,27.18,79,100,8.04,MH,1712291444
135,uturoa,-16.7333,-151.4333,28.26,79,73,3.18,PF,1712291444
136,erenhot,43.6475,111.9767,12.16,24,0,5.36,CN,1712291445
137,agua branca,-5.8922,-42.6361,23.23,98,99,1.7,BR,1712291445
138,teknaf,20.8624,92.3058,30.42,66,6,3.52,BD,1712291445
139,dar kulayb,26.0686,50.5039,26.68,44,0,3.66,BH,1712291445
140,changchun,43.88,125.3228,12.98,17,26,5.96,CN,1712291445
141,alice springs,-23.7,133.8833,25.12,25,0,7.2,AU,1712291411
142,saldanha,-33.0117,17.9442,15.03,72,100,13.11,ZA,1712291446
143,side,36.7667,31.3885,16.4,80,61,1.67,TR,1712291327
144,constantia,44.1833,28.65,8.38,78,5,3.44,RO,1712291282
145,savanna-la-mar,18.219,-78.1332,27.97,86,62,1.61,JM,1712291447
146,padang,-0.9492,100.3543,32.03,77,92,1.77,ID,1712291156
147,tolanaro,-25.0319,46.9987,24.04,83,20,5.66,MG,1712291447
148,broken hill,-31.95,141.4333,22.96,44,1,6.6,AU,1712291447
149,nemuro,43.3236,145.575,3.98,70,21,5.68,JP,1712291447
150,mitu,1.1983,-70.1733,23.45,97,100,0.81,CO,1712291447
151,beli,7.8587,10.9719,25.76,75,100,0.78,NG,1712291448
152,georgetown,5.4112,100.3354,32.96,66,20,4.63,MY,1712291278
153,utrik,11.2278,169.8474,26.84,79,100,8.05,MH,1712291448
154,port mathurin,-19.6833,63.4167,26.95,76,100,9.12,MU,1712291448
155,praia,14.9215,-23.5087,24.3,38,0,5.66,CV,1712291449
156,al ghayzah,16.2079,52.176,27.91,64,97,3.15,YE,1712291449
157,vikulovo,56.8167,70.6107,9.59,73,0,5.27,RU,1712291449
158,hamilton,39.1834,-84.5333,4.13,89,75,4.47,US,1712291153
159,westport,41.1415,-73.3579,5.05,83,75,3.6,US,1712291314
160,belmonte,-15.8631,-38.8828,25.02,92,97,2.08,BR,1712291450
161,choibalsan,48.0667,114.5,7.04,65,67,8.23,MN,1712291450
162,al wajh,26.2455,36.4525,25.97,25,0,2.57,SA,1712291450
163,invercargill,-46.4,168.35,12.79,68,42,5.36,NZ,1712291423
164,tsiombe,-25.3,45.4833,25.06,67,1,3.13,MG,1712291450
165,dahab,28.501,34.5134,26.54,34,0,5.08,EG,1712291451
166,strausberg,52.5786,13.8874,11.48,94,99,4.56,DE,1712291451
167,bredasdorp,-34.5322,20.0403,15.28,62,97,6.13,ZA,1712291451
168,monrovia,6.3005,-10.7969,25.85,92,95,1.89,LR,1712291451
169,parfino,57.9731,31.6481,-2.13,62,32,2.95,RU,1712291451
170,gryazovets,58.88,40.2525,-6.56,59,48,4.22,RU,1712291452
171,garissa,-0.4536,39.6401,27.84,72,99,4.54,KE,1712291452
172,talnakh,69.4865,88.3972,-23.22,86,92,3.98,RU,1712291452
173,karema,-6.8205,30.4389,21.53,90,99,3.96,TZ,1712291452
174,colonia,50.9333,6.95,13.11,88,0,3.6,DE,1712291387
175,sandnessjoen,66.0217,12.6316,-2.94,50,20,5.66,NO,1712291453
176,albertina,-22.2008,-46.6158,18.98,82,0,2.38,BR,1712291453
177,coahuayana de hidalgo,18.7,-103.6583,18.34,89,83,1.86,MX,1712291453
178,sunne,59.8376,13.143,-1.82,96,100,2.6,SE,1712291453
179,asau,46.4333,26.4,3.51,86,5,2.44,RO,1712291453
180,richfield,44.8833,-93.283,6.58,59,0,1.54,US,1712291234
181,kodiak,57.79,-152.4072,2.73,81,100,6.17,US,1712291388
182,fale old settlement,-9.3852,-171.2468,29.51,75,62,3.57,TK,1712291454
183,borodulikha,50.7184,80.9295,11.37,52,36,2.45,KZ,1712291454
184,hadibu,12.65,54.0333,27.85,64,45,3.13,YE,1712291454
185,arno,60.1167,18.6333,-1.23,96,100,8.0,SE,1712291454
186,mugia,43.1041,-9.2179,14.95,97,100,9.96,ES,1712291455
187,polyarnyy,69.1989,33.4478,-8.89,86,99,5.44,RU,1712291455
188,salalah,17.0151,54.0924,28.05,78,40,1.03,OM,1712291455
189,ha giang,22.8333,104.9833,26.58,81,100,2.37,VN,1712291455
190,maragogi,-9.0122,-35.2225,26.3,81,100,1.6,BR,1712291455
191,fort mcmurray,56.7268,-111.381,-0.23,74,100,2.06,CA,1712291338
